"Spec","mitochondrion Acc","Len","coi Acc","Len","coii Acc","Len","coiii Acc","Len"
"Carposcalis sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Carposcalis sp.2",NA,NA,NA,NA,NA,NA,NA,NA
"Carposcalis sp.3",NA,NA,NA,NA,NA,NA,NA,NA
"Carposcalis sp.4",NA,NA,NA,NA,NA,NA,NA,NA
"Carposcalis sp.5",NA,NA,NA,NA,NA,NA,NA,NA
"Carposcalis sp.6",NA,NA,NA,NA,NA,NA,NA,NA
"Carposcalis sp.8",NA,NA,NA,NA,NA,NA,NA,NA
"Carposcalis sp.A",NA,NA,NA,NA,NA,NA,NA,NA
"Carposcalis sp.B",NA,NA,NA,NA,NA,NA,NA,NA
"Carposcalis stegna",NA,NA,NA,NA,NA,NA,NA,NA
"Caryomyia sp",NA,NA,NA,NA,NA,NA,NA,NA
"Cecidocharella borrichia",NA,NA,NA,NA,NA,NA,NA,NA
"Cecidomyia serotinae",NA,NA,NA,NA,NA,NA,NA,NA
"Cecidomyia sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Cecidomyia vicola",NA,NA,NA,NA,NA,NA,NA,NA
"Cephenemyia phobifer",NA,NA,"MG968083.1","658",NA,NA,NA,NA
"Cephenomyia phobifer",NA,NA,NA,NA,NA,NA,NA,NA
"Ceracia dentata",NA,NA,"HQ945093.1","658",NA,NA,NA,NA
"Ceratitis capitata","NC_000857.1","15980","NC_000857.1","15980","NC_000857.1","15980","NC_000857.1","15980"
"Ceratitis fasciventris","NC_035497.1","16017","EU276666.1","823","FJ217959.1","265",NA,NA
"Ceratitis rosa","NC_053847.1","16047","KP638452.1","658","MG020817.1","556",NA,NA
"Ceriana conopsoides",NA,NA,"OK065111.1","658",NA,NA,NA,NA
"Ceriana vespiformis","NC_081085.1","15495","MK972426.1","828",NA,NA,NA,NA
"Ceriogaster sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Cerodontha angulata",NA,NA,"MF634610.1","603",NA,NA,NA,NA
"Cerodontha eucaricis",NA,NA,"MF637557.1","588",NA,NA,NA,NA
"Cerodontha ireos",NA,NA,NA,NA,NA,NA,NA,NA
"Cerodontha pseuderrans",NA,NA,NA,NA,NA,NA,NA,NA
"Cerodontha scirpi",NA,NA,NA,NA,NA,NA,NA,NA
"Cerodontha spinata",NA,NA,NA,NA,NA,NA,NA,NA
"Cerodontha vignae",NA,NA,NA,NA,NA,NA,NA,NA
"Ceromasia auricaudata",NA,NA,NA,NA,NA,NA,NA,NA
"Ceroxys latiusculus",NA,NA,NA,NA,NA,NA,NA,NA
"Ceroxys urticae",NA,NA,"MZ626374.1","658",NA,NA,NA,NA
"Chaetopsis fulvifrons",NA,NA,NA,NA,NA,NA,NA,NA
"Chaetopsis ulvi",NA,NA,NA,NA,NA,NA,NA,NA
"Chagasia bathana",NA,NA,"AF417726.1","903","AF417762.1","594",NA,NA
"Chalcosyrphus anthreas",NA,NA,"KR395899.1","588",NA,NA,NA,NA
"Chalcosyrphus ariel",NA,NA,NA,NA,NA,NA,NA,NA
"Chalcosyrphus nemorum","OX454337.1","16746","MF829136.1","585",NA,NA,NA,NA
"Chalcosyrphus plesia",NA,NA,"KC900448.1","658",NA,NA,NA,NA
"Chalcosyrphus sp.2",NA,NA,NA,NA,NA,NA,NA,NA
"Chamaepsila rosae","MT941918.1","13318","MG298447.1","307",NA,NA,NA,NA
"Chamaesphegina argentifacies",NA,NA,NA,NA,NA,NA,NA,NA
"Chaoborus americanus",NA,NA,"DQ146279.1","592","AJ427618.2","910",NA,NA
"Chaoborus flavicans",NA,NA,"MZ609828.1","653","JQ235548.1","4446","JQ235548.1","4446"
"Chaoborus plumicornis",NA,NA,NA,NA,NA,NA,NA,NA
"Chaoborus punctipennis",NA,NA,"MF708637.1","576","AJ427619.2","890",NA,NA
"Chaoborus trivittatus",NA,NA,NA,NA,NA,NA,NA,NA
"Cheilosia barbata",NA,NA,"AY533328.1","1182",NA,NA,NA,NA
"Cheilosia burkei",NA,NA,NA,NA,NA,NA,NA,NA
"Cheilosia canicularis",NA,NA,"MN621912.1","658","AY055211.1","744",NA,NA
"Cheilosia chalybescens",NA,NA,"OU773616.1","658",NA,NA,NA,NA
"Cheilosia derasa",NA,NA,NA,NA,NA,NA,NA,NA
"Cheilosia frontosa",NA,NA,NA,NA,NA,NA,NA,NA
"Cheilosia illustrata",NA,NA,"MZ609569.1","658",NA,NA,NA,NA
"Cheilosia impressa","OX411886.1","16868","OK065126.1","658",NA,NA,NA,NA
"Cheilosia longula",NA,NA,"MZ626056.1","658",NA,NA,NA,NA
"Cheilosia montana",NA,NA,"AY533343.1","1182",NA,NA,NA,NA
"Cheilosia pagana","OW386172.1","16759","OK065287.1","658",NA,NA,NA,NA
"Cheilosia pallipes",NA,NA,NA,NA,NA,NA,NA,NA
"Cheilosia plutonia",NA,NA,"MH495997.1","690",NA,NA,NA,NA
"Cheilosia scutellata",NA,NA,"OK065507.1","658",NA,NA,NA,NA
"Cheilosia soror",NA,NA,"OU452369.1","679",NA,NA,NA,NA
"Cheilosia sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Cheilosia sp.Nr.Frontalis",NA,NA,NA,NA,NA,NA,NA,NA
"Cheilosia tristis",NA,NA,NA,NA,NA,NA,NA,NA
"Cheilosia variabilis","OX579683.1","16769","OK065119.1","658",NA,NA,NA,NA
"Cheilosia vernalis","OX421364.1","20302","OK065473.1","658",NA,NA,NA,NA
"Cheilosia vulpina","OU744282.1","17565","OK065136.1","658",NA,NA,NA,NA
"Chironimus plumosus",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus acerbiphilus",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus agilis","NC_069036.1","15825","MZ656297.1","658",NA,NA,NA,NA
"Chironomus albimaculatus",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus alluaudi",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus alpestris",NA,NA,"AF192206.1","596",NA,NA,NA,NA
"Chironomus amissum",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus annularius","NC_069035.1","16320","OR342387.1","613",NA,NA,NA,NA
"Chironomus anthracinus","NC_069029.1","16325","MZ658955.1","658",NA,NA,NA,NA
"Chironomus balatonicus",NA,NA,"OP435180.1","677","JN016813.1","605",NA,NA
"Chironomus bathophilus",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus behningi",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus beljaninae",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus bernensis",NA,NA,"AF192188.1","596",NA,NA,NA,NA
"Chironomus bonus",NA,NA,"MZ014023.1","650",NA,NA,NA,NA
"Chironomus borokensis",NA,NA,"AB740261.1","658",NA,NA,NA,NA
"Chironomus cingulata",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus commutatus",NA,NA,"AF192187.1","596",NA,NA,NA,NA
"Chironomus confinis",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus crassicaudatus",NA,NA,"KR085208.1","658",NA,NA,NA,NA
"Chironomus cucini",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus dorsalis",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus entis",NA,NA,"MZ660826.1","658",NA,NA,NA,NA
"Chironomus esai",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus formosipennis",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus fraternus",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus heterodentatus",NA,NA,"AF192199.1","596",NA,NA,NA,NA
"Chironomus hyperboreus",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus islandicus",NA,NA,"JN265079.1","658",NA,NA,NA,NA
"Chironomus jonmartini",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus luridus",NA,NA,"AF192203.1","596",NA,NA,NA,NA
"Chironomus major",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus muratensis",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus neocorax",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus nudiventris",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus plumosus","NC_069032.1","16101","LC773373.1","658","JN016814.1","605",NA,NA
"Chironomus polonicus",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus propepulcher",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus pulcher",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus reissi",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus riparius","OU815687.1","15666","MK584516.2","646",NA,NA,NA,NA
"Chironomus riperiua",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus sinicus",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus sp",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus sp.",NA,NA,"OP927461.1","658",NA,NA,NA,NA
"Chironomus sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus sp.2",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus sp.Al1",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus sp.J",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus sp.K",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus sp.Kisumu",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus sp.Nakuru",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus sp.pr.Agilis",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus sp.Tu1",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus staegeri",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus suwai",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus tardus",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus thummi",NA,NA,"AF110154.1","601",NA,NA,NA,NA
"Chironomus trabicola",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus transvaalensis","NC_069026.1","15724","MT535109.1","633",NA,NA,NA,NA
"Chironomus tuvanicusspec.nov.",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus usenicus",NA,NA,"JN016820.1","587","JN016815.1","605",NA,NA
"Chironomus valkanovi",NA,NA,NA,NA,NA,NA,NA,NA
"Chironomus vancouveri",NA,NA,NA,NA,NA,NA,NA,NA
"Chloromyia formosa",NA,NA,"MZ628253.1","628",NA,NA,NA,NA
"Chlorops oryzae","NC_059894.1","17313",NA,NA,NA,NA,NA,NA
"Chrysogaster hirtella",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysogaster metallina",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysogaster nigrovittata",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysogaster nitida",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysogaster nobilis",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysogaster parva",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysogaster poecilophthalma",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysogaster pulchella",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysogaster solstitialis",NA,NA,"MZ624811.1","658",NA,NA,NA,NA
"Chrysogaster splendens",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysogaster splendida",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysogaster splendita",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysogaster viduata",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysomia albiceps",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysomia cholorpyga",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysomia putoria",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysomya albiceps",NA,NA,"MW200912.1","658","AF083657.1","2303",NA,NA
"Chrysomya bezziana","NC_019632.1","15236","OQ619379.1","621","JN014862.1","2303",NA,NA
"Chrysomya marginalis","AB112866.1","1167","MH765384.1","615",NA,NA,NA,NA
"Chrysomya megacephala","NC_019633.1","15273","JX402727.1","618","JN014846.1","2303","AJ426041.2","15831"
"Chrysomya phaonis","NC_031381.1","15831","KY031799.1","658",NA,NA,NA,NA
"Chrysomya pinguis","NC_025338.1","15838","MT577057.1","658","JN014858.1","2303",NA,NA
"Chrysomya putoria","NC_002697.1","15837","MH034007.1","313","AF295554.1","2304",NA,NA
"Chrysomya rufifacies","NC_019634.1","15412","MT020455.1","514","JN014870.1","2303",NA,NA
"Chrysomya saffranea","NC_019635.1","15839","KT353004.1","658","AY842673.1","638",NA,NA
"Chrysomya varipes","AB112869.1","1167","KX052076.1","635","AY842678.1","638",NA,NA
"Chrysomyia albiceps",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysomyia chloropygaI",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysomyia chloropygaII",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysomyia megacephala",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysomyia pachymera",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysomyia putoriaI",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysomyia putoriaII",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysomyia rufifacies",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysopilus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysops aberrans",NA,NA,"MF833576.1","555",NA,NA,NA,NA
"Chrysops aestuans",NA,NA,"MF837928.1","585",NA,NA,NA,NA
"Chrysops caecutiens",NA,NA,"OK065172.1","658",NA,NA,NA,NA
"Chrysops flavipes",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysops frigidus",NA,NA,"JN303099.1","658",NA,NA,NA,NA
"Chrysops indus",NA,NA,"KM570604.1","658",NA,NA,NA,NA
"Chrysops ludens",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysops mlokosiewiczi","ON244977.1","954",NA,NA,NA,NA,NA,NA
"Chrysops pictus",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysops relictus",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysops shermani",NA,NA,"HM435753.1","658",NA,NA,NA,NA
"Chrysops suavis","ON244978.1","954",NA,NA,NA,NA,NA,NA
"Chrysops vanderwulpi",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysops vittatus",NA,NA,"KR388640.1","602",NA,NA,NA,NA
"Chrysotoxum arcuatum",NA,NA,"OK065426.1","658","AY903968.1","929",NA,NA
"Chrysotoxum bicinctum","OU426992.1","19366","OK065387.1","658","AY903960.1","929",NA,NA
"Chrysotoxum cautum",NA,NA,"MN621922.1","658","AY903964.1","941",NA,NA
"Chrysotoxum continuum",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysotoxum derivatum",NA,NA,"KM571882.1","658",NA,NA,NA,NA
"Chrysotoxum elegans",NA,NA,NA,NA,"AY903969.1","929",NA,NA
"Chrysotoxum fascilatum",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysotoxum festivum",NA,NA,"OK065131.1","658","AY903962.1","929",NA,NA
"Chrysotoxum intermedium",NA,NA,"MN868823.1","658",NA,NA,NA,NA
"Chrysotoxum latifasciatum",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysotoxum latilimbatum",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysotoxum lessonae",NA,NA,"MN621925.1","658",NA,NA,NA,NA
"Chrysotoxum octomaculatum",NA,NA,"MH290039.1","662","AY903972.1","929",NA,NA
"Chrysotoxum parmense",NA,NA,"AY903971.1","929","AY903971.1","929",NA,NA
"Chrysotoxum testaceum",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysotoxum ventricosum",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysotoxum verralli",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysotrypanea sp",NA,NA,NA,NA,NA,NA,NA,NA
"Chrysotrypanea trifasciata",NA,NA,NA,NA,NA,NA,NA,NA
"Chymomyza aldrichii",NA,NA,NA,NA,NA,NA,NA,NA
"Chymomyza amoena",NA,NA,"MF881714.1","588","EU493702.1","1462","EU493831.1","2155"
"Chymomyza costata","MK659801.1","15937","MF882135.1","588","MK659801.1","15937",NA,NA
"Chymomyza coxata",NA,NA,NA,NA,NA,NA,NA,NA
"Chymomyza procnemis",NA,NA,"EU493571.1","1618","EU493703.1","1426","EU493832.1","1585"
"Chymomyza wirthii",NA,NA,NA,NA,NA,NA,NA,NA
"Citrogramma circumdatum",NA,NA,NA,NA,NA,NA,NA,NA
"Citrogramma sp.B",NA,NA,NA,NA,NA,NA,NA,NA
"Citrogramma sp.C",NA,NA,NA,NA,NA,NA,NA,NA
"Citrogramma sp.D",NA,NA,NA,NA,NA,NA,NA,NA
"Cladochaeta nebulosa",NA,NA,NA,NA,NA,NA,NA,NA
"Clinotanypus nervosus",NA,NA,"MZ660411.1","624",NA,NA,NA,NA
"Cnemodon latitarsis",NA,NA,NA,NA,NA,NA,NA,NA
"Cnephia dacotensis","L13403.1","343","FJ524396.1","615","GQ265806.1","252",NA,NA
"Cnephia eremites",NA,NA,"JF872737.1","658",NA,NA,NA,NA
"Cnephia ornithophilia",NA,NA,"KR393486.1","543",NA,NA,NA,NA
"Cnephia pallipes",NA,NA,"JN279278.1","658",NA,NA,NA,NA
"Cnephia pecuarum",NA,NA,"KC294543.1","615",NA,NA,NA,NA
"Cnetha shutovae",NA,NA,NA,NA,NA,NA,NA,NA
"Cochliomyia hominivorax",NA,NA,"MT020449.1","494","MT876038.1","686",NA,NA
"Cochliomyia macellaria","KT272853.1","14924","JX402735.1","645","AF295555.1","2302",NA,NA
"Cochliomyia macellariaI",NA,NA,NA,NA,NA,NA,NA,NA
"Cochliomyia macellariaII",NA,NA,NA,NA,NA,NA,NA,NA
"Colobaea americana",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum belinda",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum dispar",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum limbipenne",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum marginatum",NA,NA,"HQ944923.1","658",NA,NA,NA,NA
"Copestylum mexicanum",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum omochroma",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum scutellatum",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum sp.12",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum sp.13",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum sp.14",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum sp.15",NA,NA,NA,NA,NA,NA,NA,NA
"Copestylum tamaulipanum",NA,NA,NA,NA,NA,NA,NA,NA
"Cordilura ciliata",NA,NA,"MZ611232.1","658",NA,NA,NA,NA
"Cordilura ontario",NA,NA,"MF855563.1","582",NA,NA,NA,NA
"Cordilura praensia",NA,NA,NA,NA,NA,NA,NA,NA
"Cordilura varipes",NA,NA,"AF180996.1","810",NA,NA,NA,NA
"Corethra plumicornis",NA,NA,NA,NA,NA,NA,NA,NA
"Corethrella brakeleyi",NA,NA,"MF819702.1","576",NA,NA,NA,NA
"Cosmina testaceipes",NA,NA,NA,NA,NA,NA,NA,NA
"Cremifania nigrocellulata",NA,NA,NA,NA,NA,NA,NA,NA
"Cricotopus bicinctus",NA,NA,"LC329072.1","658",NA,NA,NA,NA
"Cricotopus f.l.ex.Gr.Bicinctus",NA,NA,NA,NA,NA,NA,NA,NA
"Cricotopus f.l.ex.grtrifaciasp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Cricotopus f.l.ex.grtrifaciasp.2",NA,NA,NA,NA,NA,NA,NA,NA
"Criorhina asilica",NA,NA,NA,NA,NA,NA,NA,NA
"Criorhina berberina",NA,NA,"MW473979.1","661",NA,NA,NA,NA
"Criorhina caudata",NA,NA,"MK155084.1","658",NA,NA,NA,NA
"Criorhina coquilletti","OR183387.1","5783","MW474089.1","659",NA,NA,NA,NA
"Criorhina luna",NA,NA,NA,NA,NA,NA,NA,NA
"Criorhina pachymera",NA,NA,"MK155064.1","658",NA,NA,NA,NA
"Criorhina tricolor",NA,NA,"KR982309.1","576",NA,NA,NA,NA
"Cryptochironomus defectus",NA,NA,NA,NA,NA,NA,NA,NA
"Cryptochironomus obreptans",NA,NA,"MZ657960.1","658",NA,NA,NA,NA
"Cryptochironomus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Culex annulus",NA,NA,"MF278814.1","638",NA,NA,NA,NA
"Culex apicalis",NA,NA,"JX259906.1","658",NA,NA,NA,NA
"Culex bitaeniorhynchus",NA,NA,"MK170093.1","651","KF687363.1","666",NA,NA
"Culex fuscanus",NA,NA,NA,NA,NA,NA,NA,NA
"Culex fuscocephala",NA,NA,"MF278818.1","655","KF687366.1","666",NA,NA
"Culex gelidus",NA,NA,"MH330218.1","668","HQ398944.1","702",NA,NA
"Culex hayashii",NA,NA,"MF278825.1","673","KF687369.1","666",NA,NA
"Culex neolitoralis",NA,NA,NA,NA,NA,NA,NA,NA
"Culex pipiens","U69572.1","742","OQ144300.1","498","KF687386.1","666",NA,NA
"Culex pseudovishnui",NA,NA,"MF278812.1","658",NA,NA,NA,NA
"Culex quinquefasciatus","OR551475.1","15584","MK170096.1","642","KX574509.1","643",NA,NA
"Culex raptor",NA,NA,NA,NA,NA,NA,NA,NA
"Culex sitiens","NC_054318.1","15585","MN733806.1","726","KF687391.1","666",NA,NA
"Culex spicalis",NA,NA,NA,NA,NA,NA,NA,NA
"Culex tarsalis",NA,NA,"MF820799.1","555","AF425847.1","2306",NA,NA
"Culex territans","NC_067607.1","15938","MG471776.1","532",NA,NA,NA,NA
"Culex theileri",NA,NA,"OQ144302.1","498",NA,NA,NA,NA
"Culex tritaeniorhrynchus",NA,NA,NA,NA,NA,NA,NA,NA
"Culex tritaeniorhynchus","NC_028616.1","15123","MK170084.1","657","KT851544.1","14844","KT851544.1","14844"
"Culicoides variipennis",NA,NA,"MH751282.1","406",NA,NA,NA,NA
"Culiseta melanura",NA,NA,"MF821060.1","600",NA,NA,NA,NA
"Culiseta morsitans",NA,NA,NA,NA,NA,NA,NA,NA
"Cuterebra emasculator",NA,NA,"KY928228.1","505",NA,NA,NA,NA
"Cynomya cadaverina",NA,NA,"JX402729.1","657","AF259505.1","1917",NA,NA
"Cynomya mortuorumI",NA,NA,NA,NA,NA,NA,NA,NA
"Cynomya mortuorumII",NA,NA,NA,NA,NA,NA,NA,NA
"Cynomya mortuorumIII",NA,NA,NA,NA,NA,NA,NA,NA
"Cynomyia mortuarum",NA,NA,NA,NA,NA,NA,NA,NA
"Cynomyia mortyorum",NA,NA,NA,NA,NA,NA,NA,NA
"Cynomyopsis cadaverina",NA,NA,NA,NA,NA,NA,NA,NA
"Cynorhinella bella",NA,NA,NA,NA,NA,NA,NA,NA
"Dacus ciliatus","MG962405.1","15808","MG962405.1","15808","MG962405.1","15808","MG962405.1","15808"
"Dacus olea",NA,NA,NA,NA,NA,NA,NA,NA
"Dasyllis grossa",NA,NA,NA,NA,NA,NA,NA,NA
"Dasyllis thoracica",NA,NA,NA,NA,NA,NA,NA,NA
"Dasyneura affinis",NA,NA,NA,NA,NA,NA,NA,NA
"Dasyrhamphis umbrinus",NA,NA,"MZ563364.1","658",NA,NA,NA,NA
"Dasysyrphus albostriatus",NA,NA,"MZ656815.1","651",NA,NA,NA,NA
"Dasysyrphus amalopis",NA,NA,"JF877350.1","658",NA,NA,NA,NA
"Dasysyrphus arcuatus",NA,NA,NA,NA,NA,NA,NA,NA
"Dasysyrphus lunulatus",NA,NA,NA,NA,NA,NA,NA,NA
"Dasysyrphus sp. Amalopis grp",NA,NA,NA,NA,NA,NA,NA,NA
"Dasysyrphus sp.A",NA,NA,NA,NA,NA,NA,NA,NA
"Dasysyrphus sp.A1",NA,NA,NA,NA,NA,NA,NA,NA
"Dasysyrphus sp.B1",NA,NA,NA,NA,NA,NA,NA,NA
"Dasysyrphus sp.C1",NA,NA,NA,NA,NA,NA,NA,NA
"Dasysyrphus sp.venustusgrp",NA,NA,NA,NA,NA,NA,NA,NA
"Dasysyrphus tricinctus",NA,NA,"OK065138.1","658",NA,NA,NA,NA
"Dasysyrphus venustus",NA,NA,"MZ611075.1","658",NA,NA,NA,NA
"Delphinia picta",NA,NA,"JF872375.1","658","AY573150.1","669",NA,NA
"Demeijerea rufipes",NA,NA,"MZ658528.1","658",NA,NA,NA,NA
"Demicryptochironomus gr.Vulneratus",NA,NA,NA,NA,NA,NA,NA,NA
"Demicryptochironomus vulneratus",NA,NA,"LC329088.1","658",NA,NA,NA,NA
"Depressa striatipennis",NA,NA,NA,NA,NA,NA,NA,NA
"Deromyia winthemi",NA,NA,NA,NA,NA,NA,NA,NA
"Derotanypus sibiricus",NA,NA,NA,NA,NA,NA,NA,NA
"Dettopsomyia nigrovittata",NA,NA,"GU597469.1","439","GU597501.1","661",NA,NA
"Diamesa aberrata",NA,NA,NA,NA,NA,NA,NA,NA
"Diamesa bertrami",NA,NA,"MT048138.1","632","MT820744.1","752",NA,NA
"Diamesa carpatica",NA,NA,NA,NA,NA,NA,NA,NA
"Diamesa ex.Gr.Prolongata",NA,NA,NA,NA,NA,NA,NA,NA
"Diamesa hamaticornis",NA,NA,"KY640388.2","1479","MG913467.1","752",NA,NA
"Diamesa heterodentata",NA,NA,NA,NA,NA,NA,NA,NA
"Diamesa leona",NA,NA,NA,NA,NA,NA,NA,NA
"Diamesa nivalis",NA,NA,NA,NA,NA,NA,NA,NA
"Diamesa stilata",NA,NA,NA,NA,NA,NA,NA,NA
"Diamesa thienemanni",NA,NA,NA,NA,NA,NA,NA,NA
"Diamesa tsutsuii",NA,NA,NA,NA,NA,NA,NA,NA
"Dichetophora boyesi",NA,NA,NA,NA,NA,NA,NA,NA
"Dichrochirosa dissimilis",NA,NA,NA,NA,NA,NA,NA,NA
"Dichrochirosa sp",NA,NA,NA,NA,NA,NA,NA,NA
"Dichrochirosa sp.Neardissimilis",NA,NA,NA,NA,NA,NA,NA,NA
"Dicranomyia trinotata",NA,NA,NA,NA,NA,NA,NA,NA
"Dicrotendipes lobiger",NA,NA,"MZ624195.1","657",NA,NA,NA,NA
"Dictenidia bimaculala",NA,NA,NA,NA,NA,NA,NA,NA
"Dictya atlantica",NA,NA,NA,NA,NA,NA,NA,NA
"Dictya brimleyi",NA,NA,NA,NA,NA,NA,NA,NA
"Dictya brimleyiE",NA,NA,NA,NA,NA,NA,NA,NA
"Dictya floridensis",NA,NA,"JN860444.1","1482","JN837572.1","681",NA,NA
"Dictya sabroski",NA,NA,NA,NA,NA,NA,NA,NA
"Dictya sabroskyi",NA,NA,NA,NA,NA,NA,NA,NA
"Dictya stricta",NA,NA,"JN860449.1","1480","JN837577.1","681",NA,NA
"Dictya texensis",NA,NA,"KJ165414.1","658","JN837578.1","681",NA,NA
"Dictya txensis",NA,NA,NA,NA,NA,NA,NA,NA
"Dictya umbrarum",NA,NA,NA,NA,NA,NA,NA,NA
"Dictya umbrarumseriesII",NA,NA,NA,NA,NA,NA,NA,NA
"Dictyodes dictyodes",NA,NA,"MG967845.1","658",NA,NA,NA,NA
"Didea alneti",NA,NA,"MF837493.1","573",NA,NA,NA,NA
"Didea fasciata",NA,NA,"MW474084.1","661",NA,NA,NA,NA
"Didea fuscipes",NA,NA,"MF834866.1","588",NA,NA,NA,NA
"Didea intermedia",NA,NA,"OK065188.1","658",NA,NA,NA,NA
"Didea laxa",NA,NA,NA,NA,NA,NA,NA,NA
"Dideoides latus","MZ315034.1","16308","MW474011.1","657",NA,NA,NA,NA
"Dioxina chilensis",NA,NA,NA,NA,NA,NA,NA,NA
"Diplodacus sienatiles",NA,NA,NA,NA,NA,NA,NA,NA
"Discritomyia fasciata",NA,NA,NA,NA,NA,NA,NA,NA
